P2_2	P3a1	P3a2	P3a3	P3a4	P3a5	P3a6	P3a7
20			1				
12			1				
9			1				
20			1				
22			1				
10			1				
7			1				
16			1				
14			1				
9			1				
2			1				
15			1				
12			1				
2						1	
3			1				
6			1				
18			1				
12							1
2			1				
15			1				
21	1						
12			1				
14			1				
2			1				
2			1				
14			1				
18			1				
2			1		1		
1			1				
5			1				
15			1				
6			1				
12			1				
9			1				
9			1				
18			1				
1			1				
4			1				
4			1		1		
11			1				
12			1				
3			1				
12			1				
12			1				
17			1				
13			1				
16			1				
16			1				
20	1						
10	1						
7		1					
12			1				
11			1				
15			1				
11	1						
18			1				
6			1				
4			1				
2			1				
21			1				
2	1						
6	1						
10			1				
21			1				
9						1	
20			1				
2		1					
21			1				
6			1				
2			1				
20			1				
13			1				
21			1				
8	1						
2	1						
5			1				
20	1						
14			1				
13			1				
20			1				
14							1
18			1				
16			1				
15		1					
13	1						
12					1		
5			1				
5			1				
13			1				
2			1				
7			1				
2			1				
15			1				
20			1				
5			1				
13							1
2	1						
7							1
10			1				
21	1						
21	1						
2			1				
11			1				
9			1				
2			1				
19	1						
10			1				
4			1				
17			1				
11			1				
2	1						
2	1						
13			1				
17			1				
3				1			
2			1				
2			1				
14			1				
2					1		
11			1				
9						1	
13			1				
13			1				
2		1					
8			1				
10	1						
9							1
11	1						
5			1				
1			1				
13		1					
6			1				
2			1				
2						1	
6			1				
9			1				
9							1
9							1
21			1				
7			1				
10			1				1
3	1						
13			1				
11	1						
10			1				
5	1						
5			1				
13	1						
2					1		
2			1				
2			1				
13	1		1				
4			1				
5	1						
2			1				
11		1					
1			1				
4			1				
2	1		1				
9				1			
7	1						
4			1				
18			1				
2	1						
5			1				
4			1				
1		1	1				
2			1				
2		1					
9			1				
2			1				
9			1				
19				1			
7		1					
10		1					
21	1						
12			1				
21			1				
21			1				
9			1				
9							1
5		1					
9			1				
6	1						
9				1			
6			1				
2				1			
9			1				
8	1						
13	1						
2			1				
11			1				
11			1				
3			1				
20	1						
4		1					
4			1				
21						1	
7	1						
8	1						
14			1	1			
13						1	
3			1				
21	1						
2	1						
15			1				
16		1					
7			1				
2			1				
18			1				
18				1			
8			1				
8			1				
2			1				
15			1				
12			1				
7	1						
6			1				
7	1						
11	1						
20	1						
13			1				
13	1						
2	1						
10		1					
21		1					
11						1	
10			1				
11			1				
11	1						
5		1					
2						1	
7	1						
2			1				
3	1						
1	1						
2	1						
11	1						
4			1				
2	1						
12					1		
10			1				
10			1				
10	1						
13				1			
4			1				
7	1						
14			1				
2			1				
2			1				
9			1				
17			1				
13	1						
2			1				
15			1				
15			1				
1		1					
4			1				
10		1					
11			1				
5			1				
4		1					
11			1				
11	1						
2		1					
8			1				
21	1						
9			1				
11	1						
13			1				
20			1				
13	1						
21	1						
12			1				
10	1						
2	1						
21			1				
21	1						
11	1						
5	1						
20		1					
6			1				
13		1					
6				1			
21			1				
3	1						
2		1					
20			1				
2			1				
17			1				
2			1				
17			1				
4			1				
13	1						
6	1						
13	1						
2	1						
13			1				
2	1						
10			1				
10				1			
11			1				
5			1	1			
19			1				
10			1				
1			1				
10	1						
3			1				
7			1				
4			1				
15	1						
2		1					
7			1				
10	1						
9			1				
19			1				
4	1						
9							1
13		1					
19	1						
21	1						
13	1						
15			1				
10	1						
1			1				
13			1				
8			1				
10	1						
5			1				
9	1						
15		1					
15	1						
11	1						
4			1				
2	1						
2	1		1				
2	1		1				
2			1				
6	1						
7	1						
13	1						
6		1					
16			1	1			
10		1					
4			1				
4				1			
2			1				
15	1						
11	1						
7	1						
2			1				
10	1						
2			1	1			
17			1				
2	1						
21	1						
8	1						
6			1				
2	1						
12			1				
14	1						
13	1						
8	1						
4	1						
2		1					
9					1		
2			1				
21		1					
5		1					
4			1				
4	1						
1			1				
15			1				
12		1					
9	1						
4			1				
2	1						
11	1						
7			1				
11			1				
21			1				
18			1				
21	1						
21	1						
12	1						
10			1				
18				1			
21	1						
12			1				
20	1						
10			1				
12			1				
9	1						
13		1					
11			1				
2		1					
13	1						
8			1				
1			1				
8	1						
18	1						
9	1						
2	1						
15	1						
6			1				
1	1						
10			1				
15			1				
1			1				
9	1						
7			1				
4							1
13			1				
9			1				
9	1						
19			1				
4			1				
2			1				
9	1						
17				1			
19				1			
2	1						
7	1						
15			1				
16			1				
2			1				
21	1		1				
9		1					
20		1					
20				1			
2	1						
15	1						
11			1				
4			1				
7			1				
4			1				
13			1				
6			1				
13					1		
2			1				
2	1						
8							1
21	1						
2	1						
8			1				
11			1				
2	1						
21	1						
2	1						
2	1						
21			1				
1		1					
4	1						
9			1				
7			1				
2	1						
6			1				
12	1						
2	1		1				
14	1						
2	1						
14			1				
5			1				
2	1						
3	1						
2	1						
8	1						
6			1				
21			1				
3			1				
11		1					
9			1				
5			1				
13			1				
15	1						
5	1						
2			1				
9	1						
2				1			
20			1				
2	1						
11			1				
13			1				
1			1				
8							1
4			1				
15			1				
8		1					
11	1						
5	1						
20		1	1				
7			1				
14	1						
6			1				
11			1				
2	1						
4	1						
2	1						
7	1						
4			1				
4	1						
21	1						
13	1						
2	1		1				
11	1						
16	1						
14	1		1				
16	1						
5	1						
10	1						
10			1				
20			1				
19		1					
6		1					
4	1						
12	1						
6			1				
2			1				
10			1				
13					1		
9	1						
20			1				
3						1	
3			1				
8			1				
9	1						
18			1				
10			1				
9			1				
3			1				
9			1				
9			1				
1	1						
6	1						
8	1						
18			1				
21			1				
2	1						
2	1						
21	1						
14				1			
4			1				
2	1						
14			1				
4	1						
20	1						
14			1				
5			1				
9			1				
8			1				
2	1						
2	1						
15		1					
2			1				
21			1				
14	1						
5	1						
16			1				
4					1		
9			1				
5			1				
13			1				
4	1						
8		1					
4			1				
17			1				
10				1			
18			1				
11			1				
10			1				
18			1				
10			1				
20	1						
6						1	
21	1						
9			1				
11			1				
8			1				
18							1
21	1						
15			1				
8			1				
2			1				
8	1						
11			1				
8		1					
9					1		
2	1						
1			1				
9					1		
20				1			
16			1				
2				1			
11				1			
5			1				
9			1				
15				1			
5			1				
9		1					
8			1				
