P31_1	P31_2	P31_3
Developing	 	
Free	Diversity	
Cozy	Freedom	Love
safe	diverse	respectable
Do not	It	I know
Pride	Chueca	
Pride	 	
Inclusive	Chueca	Feather
Margination	 	
Pride	Freedom	Generosity
I dont know	IDK	IDK
Chueca	hub	
Conservative	Intolerant	
Chaotic	 	
World Pride	Chueca	
Open	tolerant	
relatively	peaceful	
Friendly	 	
Theater	Freedom	
Friendly	Positive discrimination	Party
friendly	free	
Lesbian	Gay	Transsexual
Open	Progressive	Conciliatory
Freedom	 	
Acceptable	Acceptable	Acceptable
Homophobia	Accepted	Spanish
Do not	it	HE
Learning	Ignorant	Diverse
opening	worked	
Tolerant appearance	But there is still	A lot of homophobia
Positive	Even	Opened
pride	variety	friendly
interest	advertising	sightseeing
disgusting	bad	insufficient
free	 	
Inclusion	Acceptance	
Open	 	
Pride	Expression	Representativeness
Exploited	Rejection	Forgotten
Diversity	Love	Hate
Tolerant	 	
Modern	 	
Freedom	Comfort	Authenticity
Intolerance	Ignorance	
Open	 	
Tolerant	Modern	Selfish
pride	freedom	friendly
Social acceptance	Tolerance	Inclusion
friendly	respect	modesty
male chauvinist	 	
Open	 	
tolerant	Support	Diversity
Free	Open	Lie
Chueca	Pride	
Open	Diverse	Company
Cooperative	Hypocrite	Fun
Chueca	 	
Opened	Free	To choose
Open	Friendly	Safe
COGAM	 	
LGTBI FRIENDLY	 	
Appalling	Regular	Pasotas
Open	Something reluctant	
Party	Freedom	Empowerment
Very	Glad	
Tolerant	Friendly	Inclusive
Diverse	Massive	Free
tolerant	distant	
Chueca	 	
inclusion	respect	diversity
Opened	Friendly	Sociable
Respect	Tolerance	
Open	Diversity	Free
Tolerant	Open	Extremist
good	good	good
Friendly	 	
Freedom	Opened	Future
Tolerant	Free	Open
Indifference	Lack of resources	Absence of education
Chueca	 	
Open	Sociable	Friendly
Uncertainty	 	
Respect	Reception	Struggle
Hypocrite	False security	Open
Protective	Defending	Effective
free	friendly	
Freedom	Equality	Respect
Chueca	Friendly	Party
Chueca	Freedom	
Open	 	
love	comprehension	set
Diversity	 	
Pride	Freedom	Chueca
Open	Support	Education
Pride	Opened	Tolerant
equality	tolerance	respect
Open	Comfortable	
Chueca	Pride	Opportunity
Mentally	Open	
Chueca	Polleria	Friendly
Dont know	Dont know	Dont know
Open	Tolerant	Chueca
Chueca	 	
Open	Tolerant	Diversity
Sincere	Comprehensive	Friendly
Freedom	Expression	Tolerant more or less
Little tolerant	Aggressive	Disrespectful
freedom	cosmopolitan	open
Defender	Friendly	Supported
Chueca	Diversity	Gays
Open	Friendly	Progressive
Hard	Ancient	Cateta
Exuberant	Hypocrite	loyal
Open	Freedom	Diversity
Freedom	Empathy	Party
tolerant	open	false
Free	Open	Aggressive
Usera	Parla	Getafe
well	functional	stable
Traquila	friendly	
Freedom	Growth	Dreaming
Interested	 	
Diverse	Dangerous	
Freedom	 	
Free	 	
Pride	Freedom	Diversity
Open	Welcome	Celebrat
Assault	Freedom	Help
Plurality	Equality	Values
Tolerance	Friendly	Compressible
Selfish	 	
Free	Watch out	Respect
Tolerance	Peace	Tranquillity
Freedom	Discrimination	Integration
Support	Equality	Comprehension
Open	Comprehensive	Diversity
friendly	tolerant	
Tolerable	Indifferent	
Freedom	Diversity	
Postureo	Insufficient	Exclusive
Pride	Chueca	
Diverse	Open	
Open	 	
Open	Centralized	Sectarianized
Freedom	Permits	Indifferent
Tolerance	 	
Friendship	 	
Freedom	Tolerance	Independent
Open	Friendly	Neutral
Tolerant	 	
Sincerity	Love	Money
Friendly	Cozy	Tolerable
Quality	Taste	Left
Left	Retrograd	Insufficient
normalized	Friendly	
