"P3a1" "P3a2" "P3a3" "P3a4" "P3a5" "P3a6" "P3a7" "V8" "P22_1" "P22_2" "P22_3"
"1" NA NA 1 NA NA NA NA 2 2 2 2
"2" NA NA 1 NA NA NA NA 1 1 1 1
"3" NA NA 1 NA NA NA NA 1 2 1 2
"4" NA NA 1 NA NA NA NA 2 2 2 2
"5" NA NA 1 NA NA NA NA 2 2 2 2
"6" NA NA 1 NA NA NA NA 2 2 2 2
"7" NA NA 1 NA NA NA NA 2 2 2 2
"8" NA NA 1 NA NA NA NA 1 1 1 1
"9" NA NA 1 NA NA NA NA 1 1 2 1
"10" NA NA 1 NA NA NA NA 2 1 1 1
"11" NA NA 1 NA NA NA NA 2 2 2 2
"12" NA NA 1 NA NA NA NA 2 2 2 1
"13" NA NA 1 NA NA NA NA 2 1 2 2
"14" NA NA NA NA NA 1 NA 2 2 2 2
"15" NA NA 1 NA NA NA NA 2 2 2 2
"16" NA NA 1 NA NA NA NA 2 2 2 2
"17" NA NA 1 NA NA NA NA 2 2 2 2
"18" NA NA NA NA NA NA 1 2 2 2 2
"19" NA NA 1 NA NA NA NA 2 2 2 2
"20" NA NA 1 NA NA NA NA 2 2 2 2
"21" 1 NA NA NA NA NA NA 1 2 1 2
"22" NA NA 1 NA NA NA NA 1 2 2 2
"23" NA NA 1 NA NA NA NA 1 2 1 2
"24" NA NA 1 NA NA NA NA 1 2 2 2
"25" NA NA 1 NA NA NA NA 1 2 2 2
"26" NA NA 1 NA NA NA NA 1 1 1 1
"27" NA NA 1 NA NA NA NA 1 2 2 2
"28" NA NA 1 NA 1 NA NA 2 2 1 2
"29" NA NA 1 NA NA NA NA 2 2 2 2
"30" NA NA 1 NA NA NA NA 2 2 2 2
"31" NA NA 1 NA NA NA NA 2 2 2 2
"32" NA NA 1 NA NA NA NA 2 2 1 2
"33" NA NA 1 NA NA NA NA 2 2 2 2
"34" NA NA 1 NA NA NA NA 2 2 1 1
"35" NA NA 1 NA NA NA NA 2 2 2 2
"36" NA NA 1 NA NA NA NA 2 2 2 2
"37" NA NA 1 NA NA NA NA 2 2 2 2
"38" NA NA 1 NA NA NA NA 2 2 2 2
"39" NA NA 1 NA 1 NA NA 1 1 1 2
"40" NA NA 1 NA NA NA NA 2 2 2 2
"41" NA NA 1 NA NA NA NA 1 2 2 2
"42" NA NA 1 NA NA NA NA 2 2 2 2
"43" NA NA 1 NA NA NA NA 2 2 2 2
"44" NA NA 1 NA NA NA NA 2 2 2 2
"45" NA NA 1 NA NA NA NA 2 1 2 2
"46" NA NA 1 NA NA NA NA 1 2 2 2
"47" NA NA 1 NA NA NA NA 2 2 2 2
"48" NA NA 1 NA NA NA NA 2 1 1 1
"49" 1 NA NA NA NA NA NA 1 2 2 2
"50" 1 NA NA NA NA NA NA 1 1 1 1
"51" NA 1 NA NA NA NA NA 2 2 1 2
"52" NA NA 1 NA NA NA NA 2 1 1 2
"53" NA NA 1 NA NA NA NA 2 2 2 2
"54" NA NA 1 NA NA NA NA 2 1 2 2
"55" 1 NA NA NA NA NA NA 1 2 2 2
"56" NA NA 1 NA NA NA NA 2 1 2 2
"57" NA NA 1 NA NA NA NA 2 2 2 1
"58" NA NA 1 NA NA NA NA 2 2 2 2
"59" NA NA 1 NA NA NA NA 1 2 2 2
"60" NA NA 1 NA NA NA NA 2 2 2 2
"61" 1 NA NA NA NA NA NA 1 1 1 2
"62" 1 NA NA NA NA NA NA 1 2 2 2
"63" NA NA 1 NA NA NA NA 1 2 2 2
"64" NA NA 1 NA NA NA NA 2 2 1 2
"65" NA NA NA NA NA 1 NA 1 2 2 2
"66" NA NA 1 NA NA NA NA 1 2 1 2
"67" NA 1 NA NA NA NA NA 2 2 2 2
"68" NA NA 1 NA NA NA NA 2 1 2 2
"69" NA NA 1 NA NA NA NA 1 2 2 2
"70" NA NA 1 NA NA NA NA 2 1 1 2
"71" NA NA 1 NA NA NA NA 2 2 2 2
"72" NA NA 1 NA NA NA NA 2 2 2 2
"73" NA NA 1 NA NA NA NA 2 2 2 2
"74" 1 NA NA NA NA NA NA 1 1 1 2
"75" 1 NA NA NA NA NA NA 1 2 2 2
"76" NA NA 1 NA NA NA NA 2 2 2 2
"77" 1 NA NA NA NA NA NA 1 2 1 2
"78" NA NA 1 NA NA NA NA 2 2 2 2
"79" NA NA 1 NA NA NA NA 2 2 2 2
"80" NA NA 1 NA NA NA NA 2 2 2 2
"81" NA NA NA NA NA NA 1 2 2 2 2
"82" NA NA 1 NA NA NA NA 2 2 2 2
"83" NA NA 1 NA NA NA NA 2 2 2 2
"84" NA 1 NA NA NA NA NA 2 1 1 2
"85" 1 NA NA NA NA NA NA 1 1 1 2
"86" NA NA NA NA 1 NA NA 2 2 2 2
"87" NA NA 1 NA NA NA NA 2 2 2 2
"88" NA NA 1 NA NA NA NA 1 1 2 2
"89" NA NA 1 NA NA NA NA 2 1 1 2
"90" NA NA 1 NA NA NA NA 2 2 2 2
"91" NA NA 1 NA NA NA NA 2 1 1 2
"92" NA NA 1 NA NA NA NA 2 1 1 2
"93" NA NA 1 NA NA NA NA 2 2 2 2
"94" NA NA 1 NA NA NA NA 2 2 2 2
"95" NA NA 1 NA NA NA NA 2 2 2 2
"96" NA NA NA NA NA NA 1 1 2 2 2
"97" 1 NA NA NA NA NA NA 1 2 2 2
"98" NA NA NA NA NA NA 1 2 2 1 2
"99" NA NA 1 NA NA NA NA 2 2 2 2
"100" 1 NA NA NA NA NA NA 1 2 2 2
"101" 1 NA NA NA NA NA NA 1 2 1 2
"102" NA NA 1 NA NA NA NA 1 1 1 2
"103" NA NA 1 NA NA NA NA 1 2 2 2
"104" NA NA 1 NA NA NA NA 2 2 2 2
"105" NA NA 1 NA NA NA NA 2 1 1 1
"106" 1 NA NA NA NA NA NA 1 1 1 2
"107" NA NA 1 NA NA NA NA 1 2 2 2
"108" NA NA 1 NA NA NA NA 1 2 2 2
"109" NA NA 1 NA NA NA NA 2 2 2 2
"110" NA NA 1 NA NA NA NA 2 1 2 2
"111" 1 NA NA NA NA NA NA 1 1 2 2
"112" 1 NA NA NA NA NA NA 1 1 1 1
"113" NA NA 1 NA NA NA NA 1 2 1 2
"114" NA NA 1 NA NA NA NA 2 2 2 2
"115" NA NA NA 1 NA NA NA 1 1 2 2
"116" NA NA 1 NA NA NA NA 2 1 1 1
"117" NA NA 1 NA NA NA NA 2 1 1 2
"118" NA NA 1 NA NA NA NA 1 1 1 2
"119" NA NA NA NA 1 NA NA 1 2 2 2
"120" NA NA 1 NA NA NA NA 1 1 2 2
"121" NA NA NA NA NA 1 NA 2 2 2 2
"122" NA NA 1 NA NA NA NA 2 1 2 2
"123" NA NA 1 NA NA NA NA 2 1 2 2
"124" NA 1 NA NA NA NA NA 2 2 2 1
"125" NA NA 1 NA NA NA NA 2 2 2 2
"126" 1 NA NA NA NA NA NA 1 2 2 2
"127" NA NA NA NA NA NA 1 2 2 2 2
"128" 1 NA NA NA NA NA NA 1 1 1 1
"129" NA NA 1 NA NA NA NA 1 2 2 2
"130" NA NA 1 NA NA NA NA 1 2 1 2
"131" NA 1 NA NA NA NA NA 2 1 1 2
"132" NA NA 1 NA NA NA NA 2 1 2 2
"133" NA NA 1 NA NA NA NA 1 2 2 2
"134" NA NA NA NA NA 1 NA 1 1 1 2
"135" NA NA 1 NA NA NA NA 1 1 1 2
"136" NA NA 1 NA NA NA NA 2 2 1 2
"137" NA NA NA NA NA NA 1 2 2 2 2
"138" NA NA NA NA NA NA 1 2 2 2 2
"139" NA NA 1 NA NA NA NA 1 2 2 2
"140" NA NA 1 NA NA NA NA 2 1 1 2
"141" NA NA 1 NA NA NA 1 2 2 2 2
"142" 1 NA NA NA NA NA NA 1 2 2 2
"143" NA NA 1 NA NA NA NA 2 2 2 2
"144" 1 NA NA NA NA NA NA 1 1 2 2
"145" NA NA 1 NA NA NA NA 1 2 2 2
"146" 1 NA NA NA NA NA NA 1 1 2 2
"147" NA NA 1 NA NA NA NA 1 2 1 2
"148" 1 NA NA NA NA NA NA 1 1 1 2
"149" NA NA NA NA 1 NA NA 2 2 2 2
"150" NA NA 1 NA NA NA NA 2 2 2 2
"151" NA NA 1 NA NA NA NA 1 1 1 2
"152" 1 NA 1 NA NA NA NA 1 2 2 2
"153" NA NA 1 NA NA NA NA 1 1 2 2
"154" 1 NA NA NA NA NA NA 1 1 1 1
"155" NA NA 1 NA NA NA NA 2 1 1 2
"156" NA 1 NA NA NA NA NA 2 1 2 2
"157" NA NA 1 NA NA NA NA 1 2 1 2
"158" NA NA 1 NA NA NA NA 1 2 2 2
"159" 1 NA 1 NA NA NA NA 1 1 1 2
"160" NA NA NA 1 NA NA NA 2 2 2 2
"161" 1 NA NA NA NA NA NA 1 1 1 2
"162" NA NA 1 NA NA NA NA 1 2 2 2
"163" NA NA 1 NA NA NA NA 2 2 2 2
"164" 1 NA NA NA NA NA NA 1 1 1 2
"165" NA NA 1 NA NA NA NA 1 1 1 2
"166" NA NA 1 NA NA NA NA 1 1 1 2
"167" NA 1 1 NA NA NA NA 2 2 2 2
"168" NA NA 1 NA NA NA NA 2 1 2 2
"169" NA 1 NA NA NA NA NA 2 2 1 1
"170" NA NA 1 NA NA NA NA 2 1 1 2
"171" NA NA 1 NA NA NA NA 2 1 1 2
"172" NA NA 1 NA NA NA NA 2 2 2 2
"173" NA NA NA 1 NA NA NA 2 1 1 1
"174" NA 1 NA NA NA NA NA 2 2 2 2
"175" NA 1 NA NA NA NA NA 2 2 1 2
"176" 1 NA NA NA NA NA NA 1 2 2 2
"177" NA NA 1 NA NA NA NA 2 2 2 2
"178" NA NA 1 NA NA NA NA 2 2 2 2
"179" NA NA 1 NA NA NA NA 2 2 2 2
"180" NA NA 1 NA NA NA NA 2 2 2 2
"181" NA NA NA NA NA NA 1 2 2 2 2
"182" NA 1 NA NA NA NA NA 2 1 2 2
"183" NA NA 1 NA NA NA NA 1 2 2 2
"184" 1 NA NA NA NA NA NA 1 2 2 2
"185" NA NA NA 1 NA NA NA 2 2 2 2
"186" NA NA 1 NA NA NA NA 2 1 1 2
"187" NA NA NA 1 NA NA NA 2 2 2 2
"188" NA NA 1 NA NA NA NA 2 2 2 2
"189" 1 NA NA NA NA NA NA 1 1 1 1
"190" 1 NA NA NA NA NA NA 1 1 1 2
"191" NA NA 1 NA NA NA NA 1 1 1 2
"192" NA NA 1 NA NA NA NA 2 1 2 2
"193" NA NA 1 NA NA NA NA 2 1 2 2
"194" NA NA 1 NA NA NA NA 2 2 2 2
"195" 1 NA NA NA NA NA NA 1 2 1 2
"196" NA 1 NA NA NA NA NA 2 2 2 2
"197" NA NA 1 NA NA NA NA 2 1 2 2
"198" NA NA NA NA NA 1 NA 2 2 2 2
"199" 1 NA NA NA NA NA NA 1 2 2 2
"200" 1 NA NA NA NA NA NA 1 2 2 2
"201" NA NA 1 1 NA NA NA 1 1 2 1
"202" NA NA NA NA NA 1 NA 1 2 2 2
"203" NA NA 1 NA NA NA NA 2 2 2 2
"204" 1 NA NA NA NA NA NA 1 2 2 2
"205" 1 NA NA NA NA NA NA 1 1 1 2
"206" NA NA 1 NA NA NA NA 1 2 2 2
"207" NA 1 NA NA NA NA NA 2 2 2 2
"208" NA NA 1 NA NA NA NA 2 2 2 2
"209" NA NA 1 NA NA NA NA 2 1 1 2
"210" NA NA 1 NA NA NA NA 2 1 1 2
"211" NA NA NA 1 NA NA NA 1 2 2 2
"212" NA NA 1 NA NA NA NA 1 2 2 2
"213" NA NA 1 NA NA NA NA 1 2 1 2
"214" NA NA 1 NA NA NA NA 2 1 2 2
"215" NA NA 1 NA NA NA NA 2 2 2 2
"216" NA NA 1 NA NA NA NA 2 2 2 2
"217" 1 NA NA NA NA NA NA 1 2 2 2
"218" NA NA 1 NA NA NA NA 2 2 2 2
"219" 1 NA NA NA NA NA NA 1 1 2 2
"220" 1 NA NA NA NA NA NA 1 2 1 2
"221" 1 NA NA NA NA NA NA 1 2 2 2
"222" NA NA 1 NA NA NA NA 1 1 2 2
"223" 1 NA NA NA NA NA NA 1 2 2 2
"224" 1 NA NA NA NA NA NA 1 2 2 2
"225" NA 1 NA NA NA NA NA 2 2 1 2
"226" NA 1 NA NA NA NA NA 2 2 2 2
"227" NA NA NA NA NA 1 NA 2 2 2 2
"228" NA NA 1 NA NA NA NA 2 1 1 2
"229" NA NA 1 NA NA NA NA 2 2 2 2
"230" 1 NA NA NA NA NA NA 1 2 2 2
"231" NA 1 NA NA NA NA NA 2 1 1 2
"232" NA NA NA NA NA 1 NA 2 2 2 2
"233" 1 NA NA NA NA NA NA 1 1 2 2
"234" NA NA 1 NA NA NA NA 2 2 2 2
"235" 1 NA NA NA NA NA NA 1 2 2 2
"236" 1 NA NA NA NA NA NA 1 2 2 2
"237" 1 NA NA NA NA NA NA 1 2 1 2
"238" 1 NA NA NA NA NA NA 1 1 2 2
"239" NA NA 1 NA NA NA NA 1 1 1 2
"240" 1 NA NA NA NA NA NA 1 1 1 1
"241" NA NA NA NA 1 NA NA 2 2 1 2
"242" NA NA 1 NA NA NA NA 1 2 2 2
"243" NA NA 1 NA NA NA NA 2 2 2 2
"244" 1 NA NA NA NA NA NA 1 1 1 2
"245" NA NA NA 1 NA NA NA 1 2 1 2
"246" NA NA 1 NA NA NA NA 2 2 2 2
"247" 1 NA NA NA NA NA NA 1 2 2 2
"248" NA NA 1 NA NA NA NA 2 1 1 2
"249" NA NA 1 NA NA NA NA 2 2 1 2
"250" NA NA 1 NA NA NA NA 2 2 2 2
"251" NA NA 1 NA NA NA NA 2 1 1 2
"252" NA NA 1 NA NA NA NA 1 2 2 2
"253" 1 NA NA NA NA NA NA 1 2 2 2
"254" NA NA 1 NA NA NA NA 2 1 1 1
"255" NA NA 1 NA NA NA NA 2 2 2 2
"256" NA NA 1 NA NA NA NA 1 2 2 2
"257" NA 1 NA NA NA NA NA 2 2 2 2
"258" NA NA 1 NA NA NA NA 1 2 2 2
"259" NA 1 NA NA NA NA NA 2 1 1 2
"260" NA NA 1 NA NA NA NA 2 2 1 2
"261" NA NA 1 NA NA NA NA 2 1 1 2
"262" NA 1 NA NA NA NA NA 2 1 1 2
"263" NA NA 1 NA NA NA NA 1 1 2 2
"264" 1 NA NA NA NA NA NA 1 2 2 2
"265" NA 1 NA NA NA NA NA 2 1 1 2
"266" NA NA 1 NA NA NA NA 2 2 2 2
"267" 1 NA NA NA NA NA NA 1 1 1 1
"268" NA NA 1 NA NA NA NA 1 1 1 2
"269" 1 NA NA NA NA NA NA 1 2 2 2
"270" NA NA 1 NA NA NA NA 2 2 2 2
"271" NA NA 1 NA NA NA NA 1 2 2 2
"272" 1 NA NA NA NA NA NA 1 2 2 2
"273" 1 NA NA NA NA NA NA 1 2 2 2
"274" NA NA 1 NA NA NA NA 2 2 2 2
"275" 1 NA NA NA NA NA NA 1 1 1 1
"276" 1 NA NA NA NA NA NA 1 2 2 2
"277" NA NA 1 NA NA NA NA 2 2 2 2
"278" 1 NA NA NA NA NA NA 1 2 2 2
"279" 1 NA NA NA NA NA NA 1 1 2 2
"280" 1 NA NA NA NA NA NA 1 2 2 2
"281" NA 1 NA NA NA NA NA 2 2 2 1
"282" NA NA 1 NA NA NA NA 2 2 2 2
"283" NA 1 NA NA NA NA NA 2 1 2 2
"284" NA NA NA 1 NA NA NA 2 2 2 2
"285" NA NA 1 NA NA NA NA 1 2 1 2
"286" 1 NA NA NA NA NA NA 1 2 2 2
"287" NA 1 NA NA NA NA NA 2 2 2 2
"288" NA NA 1 NA NA NA NA 2 2 2 2
"289" NA NA 1 NA NA NA NA 1 2 2 2
"290" NA NA 1 NA NA NA NA 1 1 1 2
"291" NA NA 1 NA NA NA NA 1 2 2 2
"292" NA NA 1 NA NA NA NA 1 1 1 1
"293" NA NA 1 NA NA NA NA 2 2 2 2
"294" 1 NA NA NA NA NA NA 1 2 2 1
"295" 1 NA NA NA NA NA NA 1 2 2 2
"296" 1 NA NA NA NA NA NA 1 1 2 2
"297" 1 NA NA NA NA NA NA 1 1 2 2
"298" NA NA 1 NA NA NA NA 2 2 2 2
"299" 1 NA NA NA NA NA NA 1 2 2 2
"300" NA NA 1 NA NA NA NA 2 1 1 2
"301" NA NA NA 1 NA NA NA 2 2 2 2
"302" NA NA 1 NA NA NA NA 2 1 1 1
"303" NA NA 1 1 NA NA NA 2 2 2 2
"304" NA NA 1 NA NA NA NA 2 2 2 2
"305" NA NA 1 NA NA NA NA 2 1 1 2
"306" NA NA 1 NA NA NA NA 1 2 1 2
"307" 1 NA NA NA NA NA NA 1 2 2 2
"308" NA NA 1 NA NA NA NA 2 1 2 2
"309" NA NA 1 NA NA NA NA 1 2 1 2
"310" NA NA 1 NA NA NA NA 1 2 1 2
"311" 1 NA NA NA NA NA NA 1 2 2 2
"312" NA 1 NA NA NA NA NA 2 1 2 2
"313" NA NA 1 NA NA NA NA 1 2 2 2
"314" 1 NA NA NA NA NA NA 1 1 2 2
"315" NA NA 1 NA NA NA NA 1 1 2 2
"316" NA NA 1 NA NA NA NA 1 1 1 2
"317" 1 NA NA NA NA NA NA 1 2 2 2
"318" NA NA NA NA NA NA 1 2 2 2 2
"319" NA 1 NA NA NA NA NA 2 1 2 2
"320" 1 NA NA NA NA NA NA 1 1 1 2
"321" 1 NA NA NA NA NA NA 1 1 2 2
"322" 1 NA NA NA NA NA NA 1 2 2 2
"323" NA NA 1 NA NA NA NA 2 2 2 2
"324" 1 NA NA NA NA NA NA 1 2 2 2
"325" NA NA 1 NA NA NA NA 1 2 2 2
"326" NA NA 1 NA NA NA NA 1 1 1 2
"327" NA NA 1 NA NA NA NA 1 2 2 2
"328" 1 NA NA NA NA NA NA 1 2 1 2
"329" NA NA 1 NA NA NA NA 2 2 2 2
"330" 1 NA NA NA NA NA NA 1 2 2 2
"331" NA 1 NA NA NA NA NA 2 2 2 2
"332" 1 NA NA NA NA NA NA 1 2 2 2
"333" 1 NA NA NA NA NA NA 1 2 2 2
"334" NA NA 1 NA NA NA NA 2 2 2 2
"335" 1 NA NA NA NA NA NA 1 2 2 2
"336" 1 NA 1 NA NA NA NA 1 2 2 2
"337" 1 NA 1 NA NA NA NA 1 2 2 2
"338" NA NA 1 NA NA NA NA 1 2 2 2
"339" 1 NA NA NA NA NA NA 1 2 2 2
"340" 1 NA NA NA NA NA NA 1 2 2 2
"341" 1 NA NA NA NA NA NA 1 2 2 2
"342" NA 1 NA NA NA NA NA 2 2 2 2
"343" NA NA 1 1 NA NA NA 2 2 2 2
"344" NA 1 NA NA NA NA NA 2 2 2 2
"345" NA NA 1 NA NA NA NA 2 2 2 2
"346" NA NA NA 1 NA NA NA 2 2 2 2
"347" NA NA 1 NA NA NA NA 1 2 2 2
"348" 1 NA NA NA NA NA NA 1 1 2 2
"349" 1 NA NA NA NA NA NA 1 1 1 2
"350" 1 NA NA NA NA NA NA 1 1 1 2
"351" NA NA 1 NA NA NA NA 2 2 2 2
"352" 1 NA NA NA NA NA NA 1 2 2 2
"353" NA NA 1 1 NA NA NA 1 1 1 2
"354" NA NA 1 NA NA NA NA 2 2 2 2
"355" 1 NA NA NA NA NA NA 1 1 2 2
"356" 1 NA NA NA NA NA NA 1 2 2 2
"357" 1 NA NA NA NA NA NA 1 2 2 2
"358" NA NA 1 NA NA NA NA 2 2 2 2
"359" 1 NA NA NA NA NA NA 1 1 1 2
"360" NA NA 1 NA NA NA NA 2 2 2 2
"361" 1 NA NA NA NA NA NA 1 2 2 2
"362" 1 NA NA NA NA NA NA 1 1 2 2
"363" 1 NA NA NA NA NA NA 1 2 2 2
"364" 1 NA NA NA NA NA NA 1 2 2 2
"365" NA 1 NA NA NA NA NA 2 2 2 2
"366" NA NA NA NA 1 NA NA 2 2 2 2
"367" NA NA 1 NA NA NA NA 1 2 2 2
"368" NA 1 NA NA NA NA NA 2 2 2 2
"369" NA 1 NA NA NA NA NA 2 2 2 2
"370" NA NA 1 NA NA NA NA 1 1 1 2
"371" 1 NA NA NA NA NA NA 1 2 2 2
"372" NA NA 1 NA NA NA NA 2 2 1 2
"373" NA NA 1 NA NA NA NA 1 2 2 2
"374" NA 1 NA NA NA NA NA 2 2 2 2
"375" 1 NA NA NA NA NA NA 1 2 2 2
"376" NA NA 1 NA NA NA NA 1 2 2 2
"377" 1 NA NA NA NA NA NA 1 2 2 2
"378" 1 NA NA NA NA NA NA 1 2 2 2
"379" NA NA 1 NA NA NA NA 2 2 2 2
"380" NA NA 1 NA NA NA NA 1 2 2 2
"381" NA NA 1 NA NA NA NA 2 2 2 2
"382" NA NA 1 NA NA NA NA 1 1 1 2
"383" 1 NA NA NA NA NA NA 1 2 2 2
"384" 1 NA NA NA NA NA NA 1 2 2 2
"385" 1 NA NA NA NA NA NA 1 1 1 2
"386" NA NA 1 NA NA NA NA 2 2 2 2
"387" NA NA NA 1 NA NA NA 2 2 2 2
"388" 1 NA NA NA NA NA NA 1 2 2 2
"389" NA NA 1 NA NA NA NA 2 2 2 2
"390" 1 NA NA NA NA NA NA 1 2 2 2
"391" NA NA 1 NA NA NA NA 1 2 2 2
"392" NA NA 1 NA NA NA NA 1 2 2 2
"393" 1 NA NA NA NA NA NA 1 2 2 2
"394" NA 1 NA NA NA NA NA 2 2 2 2
"395" NA NA 1 NA NA NA NA 1 1 2 2
"396" NA 1 NA NA NA NA NA 2 1 2 2
"397" 1 NA NA NA NA NA NA 1 1 2 2
"398" NA NA 1 NA NA NA NA 2 1 2 2
"399" NA NA 1 NA NA NA NA 2 1 2 2
"400" 1 NA NA NA NA NA NA 1 2 2 2
"401" 1 NA NA NA NA NA NA 1 2 2 2
"402" 1 NA NA NA NA NA NA 1 2 2 2
"403" 1 NA NA NA NA NA NA 1 2 2 2
"404" 1 NA NA NA NA NA NA 1 2 2 2
"405" NA NA 1 NA NA NA NA 2 2 2 2
"406" 1 NA NA NA NA NA NA 1 2 1 2
"407" NA NA 1 NA NA NA NA 2 2 2 2
"408" NA NA 1 NA NA NA NA 1 2 2 2
"409" NA NA 1 NA NA NA NA 2 2 2 2
"410" 1 NA NA NA NA NA NA 1 2 2 2
"411" NA NA 1 NA NA NA NA 1 2 2 2
"412" NA NA NA NA NA NA 1 2 2 2 2
"413" NA NA 1 NA NA NA NA 1 2 2 2
"414" NA NA 1 NA NA NA NA 2 2 2 2
"415" 1 NA NA NA NA NA NA 1 2 2 2
"416" NA NA 1 NA NA NA NA 2 2 2 2
"417" NA NA 1 NA NA NA NA 1 2 2 2
"418" NA NA 1 NA NA NA NA 1 1 1 1
"419" 1 NA NA NA NA NA NA 1 2 2 2
"420" NA NA NA 1 NA NA NA 2 2 2 2
"421" NA NA NA 1 NA NA NA 1 2 2 2
"422" 1 NA NA NA NA NA NA 1 2 2 2
"423" 1 NA NA NA NA NA NA 1 2 2 2
"424" NA NA 1 NA NA NA NA 1 2 2 2
"425" NA NA 1 NA NA NA NA 2 2 2 2
"426" NA NA 1 NA NA NA NA 1 1 2 2
"427" 1 NA 1 NA NA NA NA 1 2 2 2
"428" NA 1 NA NA NA NA NA 2 2 2 2
"429" NA 1 NA NA NA NA NA 2 2 2 2
"430" NA NA NA 1 NA NA NA 2 2 2 2
"431" 1 NA NA NA NA NA NA 1 1 2 2
"432" 1 NA NA NA NA NA NA 1 2 2 2
"433" NA NA 1 NA NA NA NA 1 2 2 2
"434" NA NA 1 NA NA NA NA 2 2 2 2
"435" NA NA 1 NA NA NA NA 2 2 2 2
"436" NA NA 1 NA NA NA NA 2 2 2 2
"437" NA NA 1 NA NA NA NA 2 2 2 2
"438" NA NA 1 NA NA NA NA 2 2 2 2
"439" NA NA NA NA 1 NA NA 1 2 2 2
"440" NA NA 1 NA NA NA NA 1 1 1 2
"441" 1 NA NA NA NA NA NA 1 2 2 2
"442" NA NA NA NA NA NA 1 1 2 2 2
"443" 1 NA NA NA NA NA NA 1 2 2 2
"444" 1 NA NA NA NA NA NA 1 2 2 2
"445" NA NA 1 NA NA NA NA 1 2 2 2
