"P3a1" "P3a2" "P3a3" "P3a4" "P3a5" "P3a6" "P3a7" "V8" "V9" "V10"
"1" NA NA 1 NA NA NA NA 2 2 3
"2" NA NA 1 NA NA NA NA 1 6 2
"3" NA NA 1 NA NA NA NA 1 2 4
"4" NA NA 1 NA NA NA NA 2 1 3
"5" NA NA 1 NA NA NA NA 2 2 3
"6" NA NA 1 NA NA NA NA 2 2 2
"7" NA NA 1 NA NA NA NA 2 1 4
"8" NA NA 1 NA NA NA NA 1 2 2
"9" NA NA 1 NA NA NA NA 1 3 2
"10" NA NA 1 NA NA NA NA 2 2 3
"11" NA NA 1 NA NA NA NA 2 1 3
"12" NA NA 1 NA NA NA NA 2 1 3
"13" NA NA 1 NA NA NA NA 2 1 2
"14" NA NA NA NA NA 1 NA 2 2 2
"15" NA NA 1 NA NA NA NA 2 1 3
"16" NA NA 1 NA NA NA NA 2 1 4
"17" NA NA 1 NA NA NA NA 2 2 3
"18" NA NA NA NA NA NA 1 2 NA 4
"19" NA NA 1 NA NA NA NA 2 1 4
"20" NA NA 1 NA NA NA NA 2 1 4
"21" 1 NA NA NA NA NA NA 1 1 2
"22" NA NA 1 NA NA NA NA 1 1 4
"23" NA NA 1 NA NA NA NA 1 3 4
"24" NA NA 1 NA NA NA NA 1 1 3
"25" NA NA 1 NA NA NA NA 1 1 3
"26" NA NA 1 NA NA NA NA 1 2 3
"27" NA NA 1 NA NA NA NA 1 1 4
"28" NA NA 1 NA 1 NA NA 2 1 3
"29" NA NA 1 NA NA NA NA 2 2 3
"30" NA NA 1 NA NA NA NA 2 2 3
"31" NA NA 1 NA NA NA NA 2 1 4
"32" NA NA 1 NA NA NA NA 2 2 4
"33" NA NA 1 NA NA NA NA 2 1 3
"34" NA NA 1 NA NA NA NA 2 2 4
"35" NA NA 1 NA NA NA NA 2 2 4
"36" NA NA 1 NA NA NA NA 2 1 3
"37" NA NA 1 NA NA NA NA 2 NA 2
"38" NA NA 1 NA NA NA NA 2 NA 4
"39" NA NA 1 NA 1 NA NA 1 2 3
"40" NA NA 1 NA NA NA NA 2 1 4
"41" NA NA 1 NA NA NA NA 1 2 1
"42" NA NA 1 NA NA NA NA 2 1 3
"43" NA NA 1 NA NA NA NA 2 3 3
"44" NA NA 1 NA NA NA NA 2 2 2
"45" NA NA 1 NA NA NA NA 2 1 2
"46" NA NA 1 NA NA NA NA 1 NA 4
"47" NA NA 1 NA NA NA NA 2 1 4
"48" NA NA 1 NA NA NA NA 2 2 2
"49" 1 NA NA NA NA NA NA 1 2 3
"50" 1 NA NA NA NA NA NA 1 2 3
"51" NA 1 NA NA NA NA NA 2 2 3
"52" NA NA 1 NA NA NA NA 2 2 2
"53" NA NA 1 NA NA NA NA 2 1 4
"54" NA NA 1 NA NA NA NA 2 1 4
"55" 1 NA NA NA NA NA NA 1 1 2
"56" NA NA 1 NA NA NA NA 2 2 4
"57" NA NA 1 NA NA NA NA 2 3 4
"58" NA NA 1 NA NA NA NA 2 1 4
"59" NA NA 1 NA NA NA NA 1 1 2
"60" NA NA 1 NA NA NA NA 2 1 2
"61" 1 NA NA NA NA NA NA 1 1 2
"62" 1 NA NA NA NA NA NA 1 1 3
"63" NA NA 1 NA NA NA NA 1 NA 4
"64" NA NA 1 NA NA NA NA 2 2 2
"65" NA NA NA NA NA 1 NA 1 3 3
"66" NA NA 1 NA NA NA NA 1 3 4
"67" NA 1 NA NA NA NA NA 2 1 3
"68" NA NA 1 NA NA NA NA 2 2 2
"69" NA NA 1 NA NA NA NA 1 NA 2
"70" NA NA 1 NA NA NA NA 2 1 3
"71" NA NA 1 NA NA NA NA 2 1 4
"72" NA NA 1 NA NA NA NA 2 3 4
"73" NA NA 1 NA NA NA NA 2 1 3
"74" 1 NA NA NA NA NA NA 1 1 1
"75" 1 NA NA NA NA NA NA 1 1 4
"76" NA NA 1 NA NA NA NA 2 1 4
"77" 1 NA NA NA NA NA NA 1 1 4
"78" NA NA 1 NA NA NA NA 2 1 4
"79" NA NA 1 NA NA NA NA 2 1 4
"80" NA NA 1 NA NA NA NA 2 3 4
"81" NA NA NA NA NA NA 1 2 3 3
"82" NA NA 1 NA NA NA NA 2 6 3
"83" NA NA 1 NA NA NA NA 2 3 3
"84" NA 1 NA NA NA NA NA 2 2 2
"85" 1 NA NA NA NA NA NA 1 1 3
"86" NA NA NA NA 1 NA NA 2 NA 4
"87" NA NA 1 NA NA NA NA 2 1 3
"88" NA NA 1 NA NA NA NA 1 2 2
"89" NA NA 1 NA NA NA NA 2 3 1
"90" NA NA 1 NA NA NA NA 2 2 3
"91" NA NA 1 NA NA NA NA 2 2 3
"92" NA NA 1 NA NA NA NA 2 3 3
"93" NA NA 1 NA NA NA NA 2 1 3
"94" NA NA 1 NA NA NA NA 2 3 2
"95" NA NA 1 NA NA NA NA 2 1 2
"96" NA NA NA NA NA NA 1 1 6 5
"97" 1 NA NA NA NA NA NA 1 1 2
"98" NA NA NA NA NA NA 1 2 3 1
"99" NA NA 1 NA NA NA NA 2 1 4
"100" 1 NA NA NA NA NA NA 1 1 3
"101" 1 NA NA NA NA NA NA 1 1 3
"102" NA NA 1 NA NA NA NA 1 1 2
"103" NA NA 1 NA NA NA NA 1 5 3
"104" NA NA 1 NA NA NA NA 2 1 2
"105" NA NA 1 NA NA NA NA 2 2 2
"106" 1 NA NA NA NA NA NA 1 2 3
"107" NA NA 1 NA NA NA NA 1 3 2
"108" NA NA 1 NA NA NA NA 1 3 3
"109" NA NA 1 NA NA NA NA 2 2 4
"110" NA NA 1 NA NA NA NA 2 1 3
"111" 1 NA NA NA NA NA NA 1 2 2
"112" 1 NA NA NA NA NA NA 1 2 2
"113" NA NA 1 NA NA NA NA 1 4 3
"114" NA NA 1 NA NA NA NA 2 2 4
