"P21_1" "P21_2" "P21_3" "P21_4" "P21_5" "P21_6" "P21_7" "P21_8" "P21_9"
"1" 1 2 2 2 2 3 3 2 2
"2" 1 3 2 3 1 4 2 3 1
"3" 2 3 2 3 2 1 2 1 2
"4" 4 3 3 4 3 4 3 4 2
"5" 3 5 3 3 5 5 3 5 2
"6" 2 4 4 4 3 4 3 3 2
"7" 1 3 2 3 1 2 3 3 3
"8" 2 3 3 4 1 3 3 2 2
"9" 5 3 3 2 2 2 4 2 4
"10" 2 4 3 3 3 2 3 1 2
"11" 1 2 1 3 2 3 2 2 2
"12" 2 4 2 3 2 3 3 2 3
"13" 2 3 2 3 2 4 3 3 2
"14" 2 3 3 3 2 3 3 2 3
"15" 1 2 2 4 3 1 2 2 2
"16" 2 2 1 4 2 1 2 1 2
"17" 2 3 1 3 3 3 3 2 1
"18" 2 4 2 4 2 3 3 3 3
"19" 3 4 2 4 3 3 3 4 3
"20" 2 4 5 4 3 3 3 4 5
"21" 3 4 3 4 5 4 3 3 3
"22" 4 4 4 4 4 4 4 4 4
"23" 2 3 3 2 2 3 2 2 3
"24" 3 3 3 3 3 3 3 3 3
"25" 2 4 4 3 3 3 3 2 2
"26" 2 3 3 3 2 3 2 2 2
"27" 1 3 2 4 5 5 3 5 2
"28" 2 2 4 4 2 2 1 1 2
"29" 2 5 2 3 5 5 5 5 3
"30" 2 3 2 2 2 3 2 5 2
"31" 3 4 2 4 5 4 4 3 4
"32" 2 2 2 3 2 4 3 2 2
"33" 1 2 2 3 1 2 2 1 1
"34" 2 4 3 4 3 3 3 3 3
"35" 3 3 3 3 3 3 3 3 3
"36" 2 3 4 4 4 4 3 4 3
"37" 2 3 2 3 2 1 2 4 2
"38" 3 3 2 3 5 4 2 5 3
"39" 1 2 1 4 2 2 3 1 2
"40" 3 4 2 4 3 4 3 3 3
"41" 1 4 1 4 2 4 3 4 3
"42" 1 3 2 3 2 1 2 2 1
"43" 2 4 3 4 3 4 4 4 3
"44" 1 3 2 3 2 2 2 1 1
"45" 2 3 5 4 5 3 5 3 5
"46" 3 5 2 3 2 4 2 2 3
"47" 2 4 2 3 3 4 3 3 3
"48" 1 4 3 4 2 2 2 2 1
"49" 1 3 3 3 2 4 3 4 2
"50" 2 2 1 3 2 3 2 3 2
"51" 2 4 3 4 5 4 4 3 4
"52" 3 3 2 3 3 3 2 2 2
"53" 2 5 3 3 5 3 3 2 2
"54" 2 3 4 3 3 4 3 2 3
"55" 2 3 2 3 3 3 3 3 3
"56" 1 3 1 4 2 3 2 2 2
"57" 3 4 3 4 4 4 4 4 4
"58" 1 3 3 4 5 5 2 2 2
"59" 1 3 2 3 5 3 2 5 1
"60" 2 5 4 4 4 3 3 5 2
"61" 3 4 3 4 4 4 4 3 4
"62" 3 2 4 2 4 4 4 4 2
"63" 2 2 2 2 2 2 2 2 2
"64" 2 2 2 3 3 3 2 5 2
"65" 3 2 4 3 3 5 3 2 2
"66" 3 4 3 3 4 4 4 4 4
"67" 5 3 3 4 5 3 2 1 1
"68" 2 3 4 4 3 4 3 2 2
"69" 1 3 2 2 3 3 3 3 3
"70" 3 3 1 2 3 4 3 2 2
"71" 2 3 3 4 3 3 2 3 2
"72" 2 5 3 3 3 5 2 5 2
"73" 1 3 2 3 3 2 2 2 2
"74" 1 2 1 3 1 3 1 1 1
"75" 3 4 5 4 4 4 4 4 3
"76" 2 4 2 4 3 4 3 3 3
"77" 3 4 2 3 5 4 4 3 3
"78" 4 4 2 4 4 4 4 4 4
"79" 2 2 2 3 2 2 3 2 2
"80" 5 2 2 3 2 3 2 2 2
"81" 1 3 2 2 1 2 3 1 1
"82" 3 5 3 3 2 2 3 1 1
"83" 4 4 4 4 4 4 4 4 4
"84" 1 3 1 3 2 1 1 1 1
"85" 2 3 3 2 1 3 3 3 2
"86" 2 2 2 2 1 2 2 2 2
"87" 4 5 2 4 5 3 3 4 3
"88" 1 2 4 3 2 4 3 2 3
"89" 5 5 5 3 2 3 3 3 2
"90" 3 3 3 4 3 3 3 2 3
"91" 2 2 2 4 3 2 2 5 3
"92" 1 2 3 3 2 2 3 3 2
"93" 2 3 2 3 5 3 3 2 3
"94" 2 4 1 3 2 4 3 1 2
"95" 2 3 2 3 3 2 3 3 2
"96" 5 5 5 5 5 5 5 5 5
"97" 1 3 3 4 3 4 3 3 3
"98" 1 2 1 3 1 2 1 5 2
"99" 5 5 5 4 5 4 4 5 3
"100" 2 4 2 4 3 4 3 5 3
"101" 1 4 1 4 3 4 4 4 5
"102" 3 3 3 3 3 3 3 4 3
"103" 5 4 3 3 4 4 3 4 4
"104" 2 4 2 4 3 4 3 4 3
"105" 3 3 2 3 3 3 3 2 2
"106" 1 3 2 3 3 4 2 2 2
"107" 1 2 2 1 2 2 2 2 1
"108" 3 4 3 4 3 4 4 4 4
"109" 2 2 2 3 2 3 3 2 2
"110" 2 3 2 3 3 3 3 4 2
"111" 5 5 3 3 2 5 3 5 2
"112" 1 1 1 2 1 2 1 2 1
"113" 3 2 3 2 1 2 2 2 1
"114" 3 3 3 3 3 3 3 3 3
"115" 3 4 3 4 2 1 4 4 3
"116" 3 4 3 4 3 3 3 3 3
"117" 1 2 1 2 2 3 3 5 2
"118" 4 2 2 5 2 3 3 5 2
"119" 3 4 4 2 3 4 3 2 3
"120" 1 4 4 5 3 4 3 4 3
"121" 1 1 2 3 1 2 1 1 1
"122" 2 2 1 3 2 3 2 3 3
"123" 2 2 2 2 2 1 2 1 2
"124" 2 3 5 3 3 3 3 3 3
"125" 2 4 3 3 3 3 3 5 4
"126" 2 4 3 3 2 3 3 2 3
"127" 3 3 2 3 2 2 2 3 3
"128" 3 2 2 2 3 3 3 2 3
"129" 3 4 4 3 4 4 4 3 4
"130" 3 4 3 2 3 4 3 4 2
"131" 2 2 2 3 3 3 3 3 2
"132" 2 3 2 3 3 3 2 2 2
"133" 2 3 4 4 3 4 2 4 3
"134" 2 1 3 4 1 2 3 3 4
"135" 2 3 3 3 2 2 3 3 3
"136" 2 3 2 3 2 3 3 1 3
"137" 1 3 2 2 3 3 3 2 2
"138" 2 3 4 4 5 3 3 3 2
"139" 2 3 3 4 3 3 3 3 3
"140" 1 2 1 2 1 3 2 1 1
"141" 5 3 2 3 5 2 5 2 5
"142" 1 2 2 3 2 3 1 1 1
